Code CIS ;name;galenic;administration;commercialisation;drugs_class;family ;action ;posology ;recommandations;availibity
65698396;ABIES NIGRA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
63075735;ABIES PECTINATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
69985792;ABIES PECTINATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
62425595;ABIES PECTINATA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes;"orale;sublinguale";Commercialisée;;;;;;
64055988;ABILIFY 1 mg/ml, solution buvable;solution buvable;orale;Commercialisée;;;;;;
65198099;ABILIFY 10 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
61815891;ABILIFY 10 mg, comprimé orodispersible;comprimé orodispersible;orale;Commercialisée;;;;;;
64224801;ABILIFY 15 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
66791654;ABILIFY 15 mg, comprimé orodispersible;comprimé orodispersible;orale;Commercialisée;;;;;;
60599533;ABILIFY 5 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
69641873;ABILIFY 7,5 mg/ml, solution injectable;solution injectable;intramusculaire;Commercialisée;;;;;;
68729480;ABILIFY MAINTENA 300 mg, poudre et solvant pour suspension injectable à libération prolongée;poudre et  solvant pour suspension injectable à libération prolongée;intramusculaire;Commercialisée;;;;;;
60667087;ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée;poudre et  solvant pour suspension injectable à libération prolongée;intramusculaire;Non commercialisée;;;;;;
66706942;ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie;poudre et  solvant pour suspension injectable à libération prolongée;intramusculaire;Commercialisée;;;;;;
68739019;ABRAXANE 5 mg/ml, poudre pour suspension injectable pour perfusion;poudre pour suspension injectable pour perfusion;intraveineuse;Commercialisée;;;;;;
62082709;ABROTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
67871676;ABROTANUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
62024766;ABROTANUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  crème et  solution en gouttes en gouttes;"cutanée;orale;sublinguale";Commercialisée;;;;;;
64457435;ABSINTHIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
60612094;ABSINTHIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
68336954;ABSTRAL 100 microgrammes, comprimé sublingual;comprimé;sublinguale;Commercialisée;;;;;;
67144513;ABSTRAL 200 microgrammes, comprimé sublingual;comprimé;sublinguale;Commercialisée;;;;;;
61464150;ABSTRAL 300 microgrammes, comprimé sublingual;comprimé;sublinguale;Commercialisée;;;;;;
60282999;ABSTRAL 400 microgrammes, comprimé sublingual;comprimé;sublinguale;Commercialisée;;;;;;
63451714;ABSTRAL 600 microgrammes, comprimé sublingual;comprimé;sublinguale;Commercialisée;;;;;;
61578296;ABSTRAL 800 microgrammes, comprimé sublingual;comprimé;sublinguale;Commercialisée;;;;;;
64728712;ABUFENE 400 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
63185053;ACADIONE 250 mg, comprimé dragéifié;comprimé dragéifié;orale;Non commercialisée;;;;;;
62963238;ACALYPHA INDICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
69724187;ACAMPROSATE BIOGARAN 333 mg, comprimé pelliculé gastro-résistant;comprimé pelliculé gastro-résistant(e);orale;Commercialisée;;;;;;
60929194;ACAMPROSATE MYLAN 333 mg, comprimé enrobé gastro-résistant;comprimé enrobé gastro-résistant(e);orale;Commercialisée;;;;;;
68371745;ACARBOSE ARROW LAB 100 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
63958735;ACARBOSE ARROW LAB 50 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
64127672;ACARBOSE BIOGARAN 100 mg, comprimé sécable;comprimé;orale;Commercialisée;;;;;;
69116854;ACARBOSE BIOGARAN 50 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
65803331;ACARBOSE EG 100 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
61937888;ACARBOSE EG 50 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
60946941;ACARBOSE MYLAN 100 mg, comprimé sécable;comprimé sécable;orale;Commercialisée;;;;;;
60989978;ACARBOSE MYLAN 50 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
67093136;ACARBOSE SANDOZ 100 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
69771614;ACARBOSE SANDOZ 50 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
67901945;ACARBOSE ZENTIVA 100 mg, comprimé sécable;comprimé;orale;Commercialisée;;;;;;
64493666;ACARBOSE ZENTIVA 50 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
67813445;ACARIZAX 12 SQ-HDM, lyophilisat oral;lyophilisat;sublinguale;Commercialisée;;;;;;
68056062;ACCOFIL 30 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie;solution ou injectable pour perfusion;"intraveineuse;sous-cutanée";Commercialisée;;;;;;
60812344;ACCOFIL 48 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie;solution ou injectable pour perfusion;"intraveineuse;sous-cutanée";Commercialisée;;;;;;
67627711;ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration;solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration;"hémodialyse;hémofiltration;voie extracorporelle autre";Commercialisée;;;;;;
61278936;ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration;solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration;"hémodialyse;hémofiltration";Commercialisée;;;;;;
69430342;ACCUSOL 35, solution pour hémofiltration, hémodialyse et hémodiafiltration;solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration;"hémodialyse;hémofiltration";Commercialisée;;;;;;
63880820;ACEBUTOLOL ALMUS 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
66904792;ACEBUTOLOL ARROW 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
62096139;ACEBUTOLOL ARROW 400 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Commercialisée;;;;;;
65637614;ACEBUTOLOL BIOGARAN 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
60281598;ACEBUTOLOL BIOGARAN 400 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
64021217;ACEBUTOLOL CRISTERS 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
67787559;ACEBUTOLOL CRISTERS 400 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
69461099;ACEBUTOLOL EG 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
63874155;ACEBUTOLOL EG 400 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
67771398;ACEBUTOLOL MYLAN 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
62500717;ACEBUTOLOL MYLAN 400 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
65521830;ACEBUTOLOL RANBAXY 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Non commercialisée;;;;;;
67470053;ACEBUTOLOL RANBAXY 400 mg, comprimé pelliculé;comprimé pelliculé;orale;Non commercialisée;;;;;;
67951019;ACEBUTOLOL RATIOPHARM 200 mg, comprimé enrobé;comprimé enrobé;orale;Non commercialisée;;;;;;
62101141;ACEBUTOLOL RATIOPHARM 400 mg, comprimé enrobé;comprimé enrobé;orale;Non commercialisée;;;;;;
64304820;ACEBUTOLOL SANDOZ 200 mg, comprimé enrobé;comprimé enrobé;orale;Commercialisée;;;;;;
67050875;ACEBUTOLOL SANDOZ 400 mg, comprimé enrobé;comprimé enrobé;orale;Commercialisée;;;;;;
64847741;ACEBUTOLOL TEVA 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
62604153;ACEBUTOLOL TEVA 400 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Commercialisée;;;;;;
69877717;ACEBUTOLOL ZENTIVA 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
65842957;ACEBUTOLOL ZENTIVA 400 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
60477038;ACEBUTOLOL ZYDUS 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
63151492;ACEBUTOLOL ZYDUS 400 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
68600724;ACECLOFENAC ACCORD 100 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
64130871;ACECLOFENAC BIOGARAN 100 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
61003712;ACECLOFENAC EG 100 mg, comprimé pelliculé;comprimé pelliculé;orale;Non commercialisée;;;;;;
64937530;ACECLOFENAC EG LABO 100 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
63092688;ACECLOFENAC MYLAN 100 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
67238724;ACETANILIDUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
65900339;ACETATE DE CYPROTERONE ARROW 100 mg, comprimé sécable;comprimé sécable;orale;Commercialisée;;;;;;
67552319;ACETATE DE CYPROTERONE ARROW 50 mg, comprimé sécable;comprimé sécable;orale;Commercialisée;;;;;;
60899178;ACETATE DE CYPROTERONE EG 100 mg, comprimé sécable;comprimé sécable;orale;Commercialisée;;;;;;
67588728;ACETATE DE CYPROTERONE EG 50 mg, comprimé sécable;comprimé sécable;orale;Commercialisée;;;;;;
65230796;ACETATE DE CYPROTERONE SANDOZ 100 mg, comprimé sécable;comprimé sécable;orale;Commercialisée;;;;;;
60406938;ACETATE DE CYPROTERONE SANDOZ 50 mg, comprimé sécable;comprimé sécable;orale;Commercialisée;;;;;;
67443608;ACETATE DE CYPROTERONE TEVA 100 mg, comprimé sécable;comprimé sécable;orale;Commercialisée;;;;;;
63455260;ACETATE DE CYPROTERONE TEVA 50 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
69243168;ACETATE DE TERLIPRESSINE EVER PHARMA 0,2 mg/ml, solution injectable;solution injectable;intraveineuse;Commercialisée;;;;;;
69773711;ACETICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
68976484;ACETICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
66767379;ACETONUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Commercialisée;;;;;;
69148542;ACETYLCYSTEINE ARROW 200 mg, comprimé effervescent;comprimé effervescent(e);orale;Commercialisée;;;;;;
66398010;ACETYLCYSTEINE BIOGARAN CONSEIL 200 mg, comprimé effervescent;comprimé effervescent(e);orale;Non commercialisée;;;;;;
62784356;ACETYLCYSTEINE BIOGARAN CONSEIL 200 mg, poudre pour solution buvable en sachet;poudre pour solution buvable;orale;Commercialisée;;;;;;
68043798;ACETYLCYSTEINE EG 200 mg, poudre pour solution buvable en sachet-dose;poudre pour solution buvable;orale;Commercialisée;;;;;;
69896678;ACETYLCYSTEINE EG LABO CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose;poudre pour solution buvable;orale;Commercialisée;;;;;;
65483582;ACETYLCYSTEINE MYLAN 200 mg, poudre pour solution buvable en sachet-dose;poudre pour solution buvable;orale;Commercialisée;;;;;;
67494823;ACETYLCYSTEINE SANDOZ CONSEIL 200 mg, granulés pour solution buvable en sachet-dose;granulés pour solution buvable;orale;Commercialisée;;;;;;
67657188;ACETYLCYSTEINE TEVA CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose;poudre pour solution buvable;orale;Commercialisée;;;;;;
63976701;ACETYLCYSTEINE TEVA CONSEIL 200 mg, poudre pour solution buvable en sachet-dose;poudre pour solution buvable;orale;Non commercialisée;;;;;;
62887979;ACETYLLEUCINE BIOGARAN 500 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
61920248;ACETYLLEUCINE MYLAN 500 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
65897327;ACETYLLEUCINE TEVA 500 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
65372144;ACETYLLEUCINE ZENTIVA 500 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
68401067;ACICLOVIR AGEPHA 30 mg/g, pommade ophtalmique;pommade;ophtalmique;Commercialisée;;;;;;
61683272;ACICLOVIR ALMUS 200 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
62022480;ACICLOVIR ALMUS 5 %, crème;crème;cutanée;Commercialisée;;;;;;
68888917;ACICLOVIR ARROW 200 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
67363642;ACICLOVIR ARROW 5 %, crème;crème;cutanée;Commercialisée;;;;;;
60111197;ACICLOVIR ARROW 800 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
64858307;ACICLOVIR ARROW CONSEIL 5 %, crème;crème;cutanée;Commercialisée;;;;;;
62485208;ACICLOVIR BIOGARAN 200 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
68303445;ACICLOVIR BIOGARAN 5 %, crème;crème;cutanée;Commercialisée;;;;;;
62970791;ACICLOVIR BIOGARAN 800 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
68102563;ACICLOVIR BIOGARAN CONSEIL 5 %, crème;crème;cutanée;Commercialisée;;;;;;
69175190;ACICLOVIR CRISTERS 200 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
67344332;ACICLOVIR CRISTERS 5 %, crème;crème;cutanée;Commercialisée;;;;;;
62945806;ACICLOVIR CRISTERS 800 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
61938584;ACICLOVIR CRISTERS CONSEIL 5 %, crème;crème;cutanée;Commercialisée;;;;;;
60418673;ACICLOVIR EG 200 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
62891447;ACICLOVIR EG 5 POUR CENT, crème;crème;cutanée;Commercialisée;;;;;;
64776881;ACICLOVIR EG 800 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
60831049;ACICLOVIR EVOLUGEN 200 mg, comprimé;comprimé;orale;Non commercialisée;;;;;;
61754342;ACICLOVIR HIKMA 250 mg, poudre pour solution pour perfusion;poudre pour solution injectable;intraveineuse;Commercialisée;;;;;;
69116587;ACICLOVIR HIKMA 500 mg, poudre pour solution pour perfusion;poudre pour solution injectable;intraveineuse;Commercialisée;;;;;;
67720806;ACICLOVIR MYLAN 200 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
69258501;ACICLOVIR MYLAN 250 mg, poudre pour solution injectable (IV);poudre pour solution injectable;intraveineuse;Commercialisée;;;;;;
60126377;ACICLOVIR MYLAN 5 %, crème;crème;cutanée;Commercialisée;;;;;;
60890745;ACICLOVIR MYLAN 500 mg, poudre pour solution injectable (IV);poudre pour solution injectable;intraveineuse;Commercialisée;;;;;;
67260521;ACICLOVIR MYLAN 800 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
69540696;ACICLOVIR MYLAN PHARMA 5 %, crème;crème;cutanée;Commercialisée;;;;;;
64264557;ACICLOVIR RANBAXY 200 mg, comprimé;comprimé;orale;Non commercialisée;;;;;;
69626227;ACICLOVIR RATIOPHARM 5 %, crème;crème;cutanée;Non commercialisée;;;;;;
64743867;ACICLOVIR RPG 5 %, crème;crème;cutanée;Non commercialisée;;;;;;
62566877;ACICLOVIR SANDOZ 200 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
68887509;ACICLOVIR SANDOZ 5 %, crème;crème;cutanée;Commercialisée;;;;;;
60799637;ACICLOVIR SANDOZ CONSEIL 5 %, crème;crème;cutanée;Commercialisée;;;;;;
68560639;ACICLOVIR TEVA 200 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
60311803;ACICLOVIR TEVA 5 %, crème;crème;cutanée;Non commercialisée;;;;;;
66086740;ACICLOVIR TEVA 800 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
63370689;ACICLOVIR TEVA CONSEIL 5 %, crème;crème;cutanée;Non commercialisée;;;;;;
68474955;ACICLOVIR TEVA SANTE 5 %, crème;crème;cutanée;Commercialisée;;;;;;
64855318;ACICLOVIR ZENTIVA 200 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
64941728;ACICLOVIR ZENTIVA 5 %, crème;crème;cutanée;Commercialisée;;;;;;
60964409;ACICLOVIR ZENTIVA 800 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
69180611;ACICLOVIR ZYDUS 200 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
66005293;ACICLOVIR ZYDUS 5 %, crème;crème;cutanée;Commercialisée;;;;;;
68881730;ACIDE ACETYLSALICYLIQUE MYLAN 100 mg, comprimé gastro-résistant;comprimé gastro-résistant(e);orale;Commercialisée;;;;;;
66929906;ACIDE ACÉTYLSALICYLIQUE EG LABO CONSEIL 500 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
69784280;ACIDE ALENDRONIQUE ALTER 70 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
61838744;ACIDE ALENDRONIQUE ARROW 10 mg, comprimé;comprimé;orale;Non commercialisée;;;;;;
68157307;ACIDE ALENDRONIQUE ARROW 70 mg, comprimé;comprimé;orale;Non commercialisée;;;;;;
60365142;ACIDE ALENDRONIQUE ARROW LAB 70 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
63281774;ACIDE ALENDRONIQUE BIOGARAN 70 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
67464926;ACIDE ALENDRONIQUE CRISTERS 70 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
68229767;ACIDE ALENDRONIQUE EG 70 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
65701390;ACIDE ALENDRONIQUE EVOLUGEN 70 mg, comprimé;comprimé;orale;Non commercialisée;;;;;;
63174719;ACIDE ALENDRONIQUE MYLAN 70 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
60165024;ACIDE ALENDRONIQUE PHR LAB 70 mg, comprimé;comprimé;orale;Non commercialisée;;;;;;
65533900;ACIDE ALENDRONIQUE RANBAXY 70 mg, comprimé;comprimé;orale;Non commercialisée;;;;;;
67656556;ACIDE ALENDRONIQUE SANDOZ 70 mg, comprimé;comprimé;orale;Non commercialisée;;;;;;
68659822;ACIDE ALENDRONIQUE TEVA SANTE 70 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
63525488;ACIDE ALENDRONIQUE ZYDUS 70 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
64272874;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/2800 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
63001941;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/5600 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
65035846;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/2800 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
69242155;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/5600 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
60934017;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/2800 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
66407096;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/5600 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
62300481;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/2 800 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
62999597;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/5 600 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
63278319;ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/2 800 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
64079238;ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/5 600 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
66407826;ACIDE ALENDRONIQUE/VITAMINE D3 BGR 70 mg/2800 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
68265101;ACIDE ALENDRONIQUE/VITAMINE D3 BGR 70 mg/5600 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
65383557;ACIDE ALENDRONIQUE/VITAMINE D3 MYLAN PHARMA 70 mg/2800 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
60796566;ACIDE ALENDRONIQUE/VITAMINE D3 MYLAN PHARMA 70 mg/5 600 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
60648756;ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/2800 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
65079554;ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/5600 UI, comprimé;comprimé;orale;Commercialisée;;;;;;
63469032;ACIDE ALENDRONIQUE/VITD3 SANDOZ 70 mg/5600 UI, comprimé;comprimé;orale;Non commercialisée;;;;;;
63501366;ACIDE CARGLUMIQUE WAYMADE 200 mg, comprimé dispersible;comprimé dispersible;orale;Commercialisée;;;;;;
67320915;ACIDE FOLIQUE ARROW 5 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
68502917;ACIDE FOLIQUE CCD 0,4 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
69448600;ACIDE FOLIQUE CCD 5 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
69661235;ACIDE FOLIQUE MYLAN 5 mg, comprimé;comprimé;orale;Commercialisée;;;;;;
68762562;ACIDE FUSIDIQUE ARROW 2 %, crème;crème;cutanée;Commercialisée;;;;;;
67676765;ACIDE FUSIDIQUE BGR 2 %, crème;crème;cutanée;Commercialisée;;;;;;
63823011;ACIDE FUSIDIQUE BIOGARAN 2 %, crème;crème;cutanée;Non commercialisée;;;;;;
64944927;ACIDE FUSIDIQUE EG 2 %, crème;crème;cutanée;Commercialisée;;;;;;
66343989;ACIDE FUSIDIQUE MYLAN 2 %, crème;crème;cutanée;Commercialisée;;;;;;
66317834;ACIDE FUSIDIQUE RATIOPHARM 2 %, crème;crème;cutanée;Non commercialisée;;;;;;
64108825;ACIDE FUSIDIQUE SANDOZ 2 %, crème;crème;cutanée;Commercialisée;;;;;;
66694073;ACIDE IBANDRONIQUE TEVA 150 mg, comprimé pelliculé;comprimé pelliculé;orale;Non commercialisée;;;;;;
61884211;ACIDE TIAPROFENIQUE ARROW 100 mg, comprimé sécable;comprimé sécable;orale;Commercialisée;;;;;;
67587398;ACIDE TIAPROFENIQUE EG 100 mg, comprimé sécable;comprimé sécable;orale;Non commercialisée;;;;;;
62714607;ACIDE TIAPROFENIQUE ZENTIVA 100 mg, comprimé sécable;comprimé sécable;orale;Commercialisée;;;;;;
63520847;ACIDE TRANEXAMIQUE ACCORD 0,5 g/5 mL, solution injectable;solution injectable;intraveineuse;Commercialisée;;;;;;
64314490;ACIDE TRANEXAMIQUE AGUETTANT 0,5 g/5 mL, solution injectable;solution injectable;intraveineuse;Commercialisée;;;;;;
60151843;ACIDE TRANEXAMIQUE MYLAN 0,5 g/ 5 mL, solution injectable;solution injectable;intraveineuse;Commercialisée;;;;;;
60970141;ACIDE URSODESOXYCHOLIQUE BIOGARAN 250 mg, comprimé pelliculé;comprimé pelliculé;orale;Commercialisée;;;;;;
